Strategy,Task ID,Task Type,Rack,Arrival Time,Start Time,Completion Time,Waiting Time,Cycle Time,Travel Distance,Robot ID
FIFO,T01,Storage,A1,0.0,0.0,12.5,0.0,12.5,8.5,R1
FIFO,T03,Storage,B3,2.0,2.0,16.5,0.0,14.5,10.5,R3
FIFO,T02,Retrieval,D2,1.0,1.0,17.0,0.0,16.0,12.0,R2
FIFO,T04,Retrieval,A2,3.0,12.5,30.0,9.5,27.0,13.5,R1
FIFO,T05,Storage,C1,4.0,16.5,35.5,12.5,31.5,15.0,R3
FIFO,T06,Retrieval,D1,5.0,17.0,36.0,12.0,31.0,15.0,R2
FIFO,T08,Retrieval,C3,7.0,35.5,49.0,28.5,42.0,9.5,R3
FIFO,T07,Storage,B1,6.0,30.0,50.5,24.0,44.5,16.5,R1
FIFO,T09,Storage,D3,8.0,36.0,56.5,28.0,48.5,16.5,R2
FIFO,T11,Storage,A3,10.0,50.5,65.5,40.5,55.5,11.0,R1
FIFO,T10,Retrieval,B2,9.0,49.0,72.0,40.0,63.0,19.0,R3
FIFO,T12,Retrieval,C2,11.0,56.5,76.0,45.5,65.0,15.5,R2
Deferred Commitment,T01,Storage,A1,0.0,0.0,12.5,0.0,12.5,8.5,R1
Deferred Commitment,T03,Storage,B3,2.0,2.0,16.5,0.0,14.5,10.5,R3
Deferred Commitment,T02,Retrieval,D2,1.0,1.0,17.0,0.0,16.0,12.0,R2
Deferred Commitment,T11,Storage,A3,10.0,12.5,25.5,2.5,15.5,9.0,R1
Deferred Commitment,T08,Retrieval,C3,7.0,16.5,32.0,9.5,25.0,11.5,R3
Deferred Commitment,T06,Retrieval,D1,5.0,17.0,36.0,12.0,31.0,15.0,R2
Deferred Commitment,T07,Storage,B1,6.0,25.5,40.5,19.5,34.5,11.0,R1
Deferred Commitment,T12,Retrieval,C2,11.0,32.0,51.0,21.0,40.0,15.0,R3
Deferred Commitment,T10,Retrieval,B2,9.0,40.5,56.0,31.5,47.0,11.5,R1
Deferred Commitment,T09,Storage,D3,8.0,36.0,56.5,28.0,48.5,16.5,R2
Deferred Commitment,T05,Storage,C1,4.0,51.0,73.5,47.0,69.5,18.5,R3
Deferred Commitment,T04,Retrieval,A2,3.0,56.0,83.0,53.0,80.0,23.0,R1
